HexID	DateTime	Latitude	Longitude	Altitude
AB0DC5	2019/07/12 02:02:38.855	19.95955	-155.02209	7100
AB0DC5	2019/07/12 02:02:39.407	19.95973	-155.02268	7100
AB0DC5	2019/07/12 02:02:40.303	19.95996	-155.02347	7100
AB0DC5	2019/07/12 02:02:41.303	19.96024	-155.02440	7100
AB0DC5	2019/07/12 02:02:42.312	19.96053	-155.02548	7100
AB0DC5	2019/07/12 02:02:43.392	19.96081	-155.02643	7100
AB0DC5	2019/07/12 02:02:44.360	19.96109	-155.02738	7100
AB0DC5	2019/07/12 02:02:45.400	19.96137	-155.02838	7100
AB0DC5	2019/07/12 02:02:46.440	19.96165	-155.02945	7200
AB0DC5	2019/07/12 02:02:47.592	19.96193	-155.03052	7200
AB0DC5	2019/07/12 02:02:48.505	19.96216	-155.03141	7200
AB0DC5	2019/07/12 02:02:50.729	19.96276	-155.03362	7200
AB0DC5	2019/07/12 02:02:51.849	19.96303	-155.03475	7200
AB0DC5	2019/07/12 02:02:52.809	19.96326	-155.03573	7300
AB0DC5	2019/07/12 02:02:53.905	19.96353	-155.03671	7300
AB0DC5	2019/07/12 02:02:54.946	19.96379	-155.03776	7300
AB0DC5	2019/07/12 02:02:56.026	19.96404	-155.03887	7300
AB0DC5	2019/07/12 02:02:57.002	19.96425	-155.03976	7300
AB0DC5	2019/07/12 02:02:57.994	19.96449	-155.04076	7300
AB0DC5	2019/07/12 02:02:59.114	19.96477	-155.04191	7400
AB0DC5	2019/07/12 02:03:01.131	19.96528	-155.04391	7400
AB0DC5	2019/07/12 02:03:02.227	19.96555	-155.04495	7400
AB0DC5	2019/07/12 02:03:04.067	19.96596	-155.04671	7500
AB0DC5	2019/07/12 02:03:05.243	19.96623	-155.04784	7500
AB0DC5	2019/07/12 02:03:06.187	19.96644	-155.04875	7600
AB0DC5	2019/07/12 02:03:07.132	19.96667	-155.04970	7600
AB0DC5	2019/07/12 02:03:08.268	19.96696	-155.05074	7600
AB0DC5	2019/07/12 02:03:09.284	19.96719	-155.05167	7600
AB0DC5	2019/07/12 02:03:09.796	19.96733	-155.05215	7700
AB0DC5	2019/07/12 02:03:11.284	19.96765	-155.05358	7700
AB0DC5	2019/07/12 02:03:11.756	19.96779	-155.05404	7700
AB0DC5	2019/07/12 02:03:12.172	19.96788	-155.05444	7700
AB0DC5	2019/07/12 02:03:13.101	19.96806	-155.05530	7700
AB0DC5	2019/07/12 02:03:14.141	19.96835	-155.05634	7800
AB0DC5	2019/07/12 02:03:15.117	19.96857	-155.05716	7800
AB0DC5	2019/07/12 02:03:16.005	19.96877	-155.05804	7800
AB0DC5	2019/07/12 02:03:17.013	19.96900	-155.05899	7800
AB0DC5	2019/07/12 02:03:18.069	19.96930	-155.06005	7800
AB0DC5	2019/07/12 02:03:19.086	19.96953	-155.06099	7800
AB0DC5	2019/07/12 02:03:20.070	19.96976	-155.06197	7800
AB0DC5	2019/07/12 02:03:21.150	19.97003	-155.06303	7800
AB0DC5	2019/07/12 02:03:22.214	19.97030	-155.06398	7800
AB0DC5	2019/07/12 02:03:23.070	19.97049	-155.06486	7900
AB0DC5	2019/07/12 02:03:24.142	19.97077	-155.06593	7900
AB0DC5	2019/07/12 02:03:27.111	19.97150	-155.06869	7900
AB0DC5	2019/07/12 02:03:28.119	19.97177	-155.06967	7900
AB0DC5	2019/07/12 02:03:31.184	19.97254	-155.07267	8000
